분야,분야 내 카테고리,서브 카테고리,순위,책이름,저자,줄거리,이미지
예술/대중문화,사진,사진이론과 실기,1,스마트폰 사진&영상,김용만,"“이제는 결정적인 순간에 쉽고 간편하게 촬영하는 것이 중요하다!”스마트폰으로 사진을 잘 찍고 보정하는 방법부터유튜브를 위한 영상 촬영&편집까지스마트폰 카메라를 이용한 사진&영상 200% 활용법을 소개한다.이 책은 스마트폰 카메라를 이용하여 남녀노소 누구라도 쉽게 사진과 동영상을 촬영하고, 보정 및 편집하는 방법을 소개합니다. 사진에 대한 전문 지식이 없더라도 몇 가지 기능과 설정, 그리고 저자의 실무 경험을 바탕으로한 노하우를 익힌다면 DSLR 카메라 부럽지 않은 사진과 영상을 얻을 수 있습니다. 사진을 촬영한 후 유튜브, 틱톡, SNS에 업로드하여 공유하는 방법부터 사진을 백업하고 관리, 인화하는 방법까지 소개합니다.",https://bookthumb-phinf.pstatic.net/cover/155/179/15517992.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,2,권학봉의 포토샵 라이트룸 클래식 CC 사진보정 강의,권학봉,"이 책은 은하수 표지가 아름다웠던 《포토샵 라이트룸 사진보정 강의》를 어도비 CC 버전에 맞추어 새롭게 만든 책입니다. 2권 분량의 내용을 1권으로 묶어 사진관리부터 보정까지 한 번에 끝낼 수 있도록 탄탄히 구성되었던 이 책의 자랑은 ‘독자와의 소통’으로 더욱 강화되었습니다. 첫 출간 이후 3년 동안 독자 질문에 답하고, 더 잘 설명하기 위해 유튜브 동영상을 만들고, 최신 버전에 맞춰 내용을 추가하고, 장황했던 설명은 과감히 쳐내고, 독자 리뷰에 고민하며 다시 구성을 다듬은 최종 결과물이니까요. 확인하세요, 독자들의 꼼꼼한 검증을 통과한 그 이유를!",https://bookthumb-phinf.pstatic.net/cover/152/595/15259548.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,3,사진전문 용어사전,조용훈,"▶ 책 제목에서 알 수 있듯 사진과 관련한 전문 용어들을 ‘사전’ 형식으로 설명하는 책이다. 하지만 단순히 모르는 용어를 찾기 위한 것이 아니라, 용어의 정의부터 함께 알아야 할 내용들, 각 제품 또는 방식이 지닌 장단점과 한계, 실제에 적용하는 방법 등을 자세하게 풀이한다. 그 내용을 이해하는 것만으로도 사진 관련 대부분의 이론을 습득하고 실전에 활용할 수 있도록 기획되었다.▶ 약 300페이지에 걸쳐 소개되는 내용들은 아날로그부터 디지털에 이르기까지 고전 방식과 최신 방식을 넘나든다. ‘카메라의 기본 메커니즘’부터 ‘디지털ㆍ암실이론과 실제’, ‘사진의 역사와 미학을 포함한 사진예술’, ‘빛의 이론과 조명’, ‘사진의 미래에 대한 고찰’, ‘미러리스ㆍ나스ㆍBSI이미지센서 같은 최신 기술’ 등 사진의 모든 것..",https://bookthumb-phinf.pstatic.net/cover/152/085/15208578.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,4,슬기로운 미러리스 생활,"김진빈, 박선미, 박소현","무엇을 찍을지 정했다면,어떻게 촬영할지를 생각해야 한다!사진은 모두가 공유하는 세상 안에서 취향을 발견하고, 나만의 세계를 창조하는 일입니다. 흔히 말하는 ‘시선이 담긴 사진’이란 단순히 발견한 취향을 사진으로 옮기는 작업만을 의미하지 않습니다. 무엇을 찍을지 정하는 일만큼 어떤시선으로 대상을 바라보고 지금 손에 쥔 장비를 어떻게 활용해 프레임을 창조할지도 중요한 부분입니다.이 책은 미러리스로 사진을 찍기 시작했지만, 아직은 촬영 버튼 한 번이면 사진을 완성해주는 스마트폰 카메라가더 익숙한 사람을 위한 솔루션을 담았습니다. 가장 보편적인 촬영 상황과 여러 장면들을 예로 들어 어떤 렌즈를 선택하고, 장비를 어떻게 200% 활용할 수 있는지 전하고 있습니다.이 책에 수록된 장면별 장비 활용법을 차례로 익혀나가다..",https://bookthumb-phinf.pstatic.net/cover/151/360/15136002.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,5,쇼핑몰 상품 사진 촬영,"장진수, 유환준","쇼핑몰과 오픈마켓을 운영하는 분들을 위한상품 사진 촬영의 기본 교과서이 책은 전문 포토그래퍼들이나 하이 아마추어 분들이 더 많은 역량 발휘를 위해서 보는 책이 아닙니다. DSLR 또는 미러리스에 관심이 있는 쇼핑몰 창업자분이나 카메라를 조금 다뤄 본 초보이지만 쇼핑몰 촬영을 위해 스스로 도전하는 분들을 위한 책입니다. 그리고 폰카(스마트폰 카메라)말고는 카메라를 사용해 본 적이 없다면, 자신의 카메라를 구입할 때 들어 있는 설명서를 보면서 카메라 버튼이나, 다이얼 정도는 조작해 보고 이 책을 보는 것이 도움이 됩니다.",https://bookthumb-phinf.pstatic.net/cover/149/663/14966306.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,6,최고의 한 컷을 위한 조명,조영진,"“맛있는 요리 뒤에는 훌륭한 레시피가 있듯이품격 있는 사진에도 그에 걸맞은 훌륭한 조명 레시피가 있다!사진 초보자와 쇼핑몰 제품을 촬영하고자 하는 모든 이들을 위한 빛나는 조명의 세계!”  『매출을 올려주는 쇼핑몰 제품 촬영 ? 최고의 한 컷을 위한 조명』은 사진과 카메라의 전반적인 내용을 다루고 있으며, 특히 초보자들이 조명을 사용해 제품 사진을 성공적으로 촬영하는데 필요한 노하우를 아낌없이 전합니다. 디지털 카메라를 구분하고 렌즈, 셔터, 조리개가 무엇인지부터 시작하여 선명하고 올바른 포커스, 사진을 효과적으로 표현하는 심도와 앵글, 구도 등을 차근차근 알려줍니다. 초보자들은 이 책 한 권만으로도 카메라와 사진에 대한 기본기를 탄탄히 다질 수 있으며 스트로브의 구조와 조작법, 기본 조명법을 배워 피사체의..",https://bookthumb-phinf.pstatic.net/cover/148/412/14841238.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,7,사진에 관한 모든 것,나카하라 카즈오,"자신에게 맞는 카메라를 선택하는 법부터 촬영을 편리하게 해주는 액세서리 소개, 아웃포커싱을 살린 멋진 사진 촬영 방법, RAW 현상 방법까지 한 권에 담았다. 스마트폰이 아니라 카메라로 멋진 사진을 촬영해보고 싶은데 어떤 카메라를 사야 할지도 모르고, 카메라가 있어도 어떻게 찍어야 할지 모르는 사람들을 위한 책이다.더불어 이미 카메라를 사용하고 있지만, 지금보다 사진을 더 멋있게 잘 찍고 싶은 사람들을 위한 책이기도 하다. 카메라가 사진을 어떻게 기록하는지, 카메라의 방향을 바꾸면 사진에 어떤 변화가 생기는지 등 ‘카메라’ 자체를 이해할 수 있게 해준다.",https://bookthumb-phinf.pstatic.net/cover/148/614/14861426.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,8,Win-Q 사진기능사 필기+실기 단기완성,하지석,"● 필 기1. 핵심요약집 빨간키를 통해 자주 출제되는 기출문제의 키워드를 분석하여 최종 마무리 정리가 가능하도록 구성하였습니다.2. 각 과목별 필수적으로 학습해야 할 핵심이론을 알기 쉽게 정리하였습니다.3. 각 핵심요점당 출제 빈도가 높고 중요한 예제만을 엄선하여 핵심을 찌르는 명쾌한 해설과 함께 수록하였습니다.4. 과년도 및 최근 기출복원문제를 자세한 해설과 함께 수록함으로써 출제경향의 변화를 파악하고 핵심요점만으로는 부족한 이론들을 익힐 수 있도록 하였습니다.5. 사진기능사 실기(작업형)에서는 작업별 중요사항 및 핵심설명, 올컬러 사진을 함께 수록하여 최종 합격의 지름길을 제시하였습니다.",https://bookthumb-phinf.pstatic.net/cover/141/043/14104307.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,9,DSLR 사진특강 111강,김완모,"표현과 기법을 통해 완벽한 사진을 만들어주는 또 하나의 해법서!실전에서 오랫동안 촬영하고 현재도 활발하게 강의하고 있는 필자의 노하우를 집약한 사진 기술서다. 기초부터 카메라 조작법, 사진 촬영을 위한 방향을 제시하고 있다. 풍부하고 방대한 사진, 강마다 간결한 해설을 통해 사진에 쉽게 접근할 수 있도록 소개하였다. 가장 기초가 되는 내용부터 초점을 맞추었지만 111강이나 되는 분량과 2,000여 장이 넘는 사진은 실전에서 백과사전처럼 활용할 수 있다. 더 좋은 사진, 기초부터 튼실한 사진작가, 방대한 백과사전으로 필요한 것만 찾아보고 싶은 사람이라면 꼭 한 권쯤은 가지고 있어야 할 도서가 될 것이다.",https://bookthumb-phinf.pstatic.net/cover/147/420/14742079.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,10,이제 사진 프로젝트다,김성민,▶ 사진촬영기법에 관한 내용을 담은 전문서적입니다.,https://bookthumb-phinf.pstatic.net/cover/146/341/14634164.jpg?type=m5
